"Data Source","World Development Indicators",

"Last Updated Date","2018-05-02",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Aruba","ABW","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","6424581.00558659","12234636.8715084","6815642.45810056","3854748.60335196","9329608.93854749","16592178.7709497","6256983.24022346","18994413.4078212","47541899.4413408","10100558.6592179","6837988.82681564","-57296089.3854749","-64061452.5139665","-35916201.1173184","-16966480.4469274","-22360681.4850508","47877688.4364637","-60837988.8268156","-42625698.3240223","1899441.34078212","-8938547.48603351","-12625698.3240223","-143240223.463687","-79490608.3798883","-108868282.681564","-60811598.3240223","-39008959.7765363","",
"Afghanistan","AFG","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","","","","","","","","-19086150.3641806","334912.309159517","9223758.1003472","79925519.0585326","42836873.7997215","74341921.3921688","130510219.188827","85152638.412822","104988572.323749","",
"Angola","AGO","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-990000","2664000","1267025849.55","1439455260.52","2015419577.22","1757515638.31","490109724.9","270507746.86","52192360.85","-221242031.604507","172774478.130237","10526220.4195758","-1511899202.55327","-42450977.6957845","",
"Albania","ALB","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","0","0","0","0","25000000","23500000","36820000","22485018","3641326","5664561.02209762","-34157087.6613144","-25810000","26150615.8731921","-15097582.8432736","-322071110.784818","-93408406.9089047","42941668.3983989","151415892.080038","151013462.485592","-249403504.288297","243105260.481323","",
"Andorra","AND","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","66000000","1000000","-101000000","-222000000","-154000000","-1125000000","-1888000000","-1140000000","-759000000","507000000","365000000","96000000","656000000","-2618000000","1309000000","-483000000","-4860125449.35785","-34402472090.7518","-9461307995.40389","-2313489543.14596","-9594192048.84168","-11024422054.3811","-8787778449.39212","6784911598.1816","2583605593.93601","9503319279.61183","4640330000","7758080000","9415610000","386460000","-7239396788.73852","-7467962897.5237","7878589063.30987","2153143136.6226","-3262193616.41713","-143234156.27634","149918325.5722","-432585920.294057","2339430393.10179","-437238814.35021","-35255293855.0228","",
"Armenia","ARM","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","-7220000","-15758800","15944000","-1640000","18868760.8171488","5710093.60909551","-1555182.4818007","-260345.564425927","2757763.81964176","2789183.60905935","-9353004.74096168","8005254.79474586","-11959925.8179122","4168083.36023515","-18299902.978233","8357151.82318582","-834407.27491822","-689445536.434187","38353674.5448023","-234956326.797786","-33850545.6552129","",
"American Samoa","ASM","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Portfolio investment, net (BoP, current US$)","BN.KLT.PTXL.CD","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1381481.48148148","92592.5925925926","1592592.59259259","0","285185.185185185","-2685185.18518519","-2340740.74074074","2504814.81481481","2171096.2962963","-2638743.33333333","-12100082.962963","-10528733.3333333","-24783866.2962963","1231090","-10797910.3703704","7056363.7037037","7539175.18518518","-10144068.1481481","-6668289.25925926","-5321430.74074074","3468329.71851852","34043402.0740741","11862540.0743212","",
